Word,PartsOfSpeech,Meaning
Xylol,n.,Same as Xylene.
Xylyl,n.,Any one of three metameric radicals which are characteristic respectively of the three xylenes.
Xyris,n.,"A genus of endogenous herbs with grassy leaves and small yellow flowers in short, scaly-bracted spikes; yellow-eyed grass. There are about seventeen species in the Atlantic United States."
Yacca,n.,"A West Indian name for two large timber trees (Podocarpus coriaceus, and P. Purdicanus) of the Yew family. The wood, which is much used, is pale brownish with darker streaks."
Yacht,n.,"A light and elegantly furnished vessel, used either for private parties of pleasure, or as a vessel of state to convey distinguished persons from one place to another; a seagoing vessel used only for pleasure trips, racing, etc."
Yager,n.,"In the German army, one belonging to a body of light infantry armed with rifles, resembling the chasseur of the French army."
Yakin,n.,"A large Asiatic antelope (Budorcas taxicolor) native of the higher parts of the Himalayas and other lofty mountains. Its head and neck resemble those of the ox, and its tail is like that of the goat. Called also budorcas."
Yalah,n.,The oil of the mahwa tree.
Yamma,n.,The llama.
Yapon,n.,Same as Yaupon.
Yarke,n.,Same as Saki.
Yaulp,v. i.,To yaup.
Yawed,imp. & p. p.,of Yaw
Ydrad,p. p.,Dreaded.
Yeara,n.,"The California poison oak (Rhus diversiloba).  See under Poison, a."
Yearn,v. t.,To pain; to grieve; to vex.
Yeast,n.,"The foam, or troth (top yeast) dough for bread or cakes, and making it light and puffy; barm; ferment."
Yeman,n.,A yeoman.
Yerba,n.,An herb; a plant.
Yerne,a.,Eagerly; briskly; quickly.
Yerst,adv.,See Erst.
Yesty,a.,See Yeasty.
Yeven,p. p.,Given.
Yewen,a.,"Made of yew; as, yewen bows."
Yezdi,n.,Same as Izedi.
Yfere,adv.,Together.  See Ifere.
Yield,v. t.,"To give in return for labor expended; to produce, as payment or interest on what is expended or invested; to pay; as, money at interest yields six or seven per cent."
Ylike,a. & adv.,Like; alike.
Yodel,v. t. & i.,Alt. of Yodle
Yodle,v. t. & i.,"To sing in a manner common among the Swiss and Tyrolese mountaineers, by suddenly changing from the head voice, or falsetto, to the chest voice, and the contrary; to warble."
Yojan,n.,"A measure of distance, varying from four to ten miles, but usually about five."
Yoked,imp. & p. p.,of Yoke
Yokel,n.,A country bumpkin.
Young,superl.,"Not long born; still in the first part of life; not yet arrived at adolescence, maturity, or age; not old; juvenile; -- said of animals; as, a young child; a young man; a young fawn."
Yours,pron.,See the Note under Your.
Youth,pl. ,of Youth
Youze,n.,The cheetah.
Yraft,p. p.,Bereft.
Ysame,adv.,Together.
Yucca,n.,"See Flicker, n., 2."
Yufts,n.,Russia leather.
Yulan,n.,A species of Magnolia (M. conspicua) with large white blossoms that open before the leaves.  See the Note under Magnolia.
Yumas,n. pl.,"A tribe of Indians native of Arizona and the adjacent parts of Mexico and California. They are agricultural, and cultivate corn, wheat, barley, melons, etc."
Yupon,n.,Same as Yaupon.
Zacco,n.,See Zocco.
Zambo,n.,"The child of a mulatto and a negro; also, the child of an Indian and a negro; colloquially or humorously, a negro; a sambo."
Zamia,n.,"A genus of cycadaceous plants, having the appearance of low palms, but with exogenous wood.  See Coontie, and Illust. of Strobile."
Zante,n.,See Zantewood.
Zayat,n.,"A public shed, or portico, for travelers, worshipers, etc."
Zebec,n.,See Xebec.
Zebra,n.,"Either one of two species of South African wild horses remarkable for having the body white or yellowish white, and conspicuously marked with dark brown or brackish bands."
Zebub,n.,"A large noxious fly of Abyssinia, which like the tsetse fly, is destructive to cattle."
Zemni,n.,"The blind mole rat (Spalax typhlus), native of Eastern Europe and Asia. Its eyes and ears are rudimentary, and its fur is soft and brownish, more or less tinged with gray. It constructs extensive burrows."
Zenik,n.,See Zenick.
Zerda,n.,The fennec.
Zeros,pl. ,of Zero
Zibet,n.,Alt. of Zibeth
Ziega,n.,"Curd produced from milk by adding acetic acid, after rennet has ceased to cause coagulation."
Zilla,n.,"A low, thorny, suffrutescent, crucifeous plant (Zilla myagroides) found in the deserts of Egypt. Its leaves are boiled in water, and eaten, by the Arabs."
Zinky,a.,See Zincky.
Zizel,n.,The suslik.
